STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DP01,DP10,DSNW,EMSN,EMXP,PRCP,SNOW
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-01,11,5,,,1.28,3.36,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-02,13,6,,,0.51,2.14,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-03,10,6,,,1.3,4.05,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-04,10,6,,,1.48,3.67,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-05,5,3,0,0,0.91,1.8,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-06,12,10,,,2.43,6.45,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-07,5,3,0,0,0.79,1.93,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-08,7,5,,,0.64,1.64,
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-09,4,2,0,0,0.28,0.56,0
US1SCRC0030,"HOPKINS 3.9 NNE, SC US",33.9574,-80.8578,128,2019-10,9,5,,,2.15,3.47,
